# ---------------------------------- WARNING ----------------------------------------,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,
# have not received Director's approval and as such are provisional and subject to,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,
# Additional info: http://waterdata.usgs.gov/or/nwis/help/?provisional,,,,
#,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2008-11-24 17:47:38 EST,,,,
#,,,,
# Data for the following site(s) are contained in this file,,,,
"#    USGS 14158500 MCKENZIE RIVER AT OUTLET OF CLEAR LAKE, OR",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 14158500,,,,
#    DD parameter statistic   Description,,,,
"#    01   00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output: ,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,
#     P  Provisional data subject to revision.  ,,,,
#     e  Value has been estimated.  ,,,,
# ,,,,
5s,15s,16d,14n,10s
USGS,14158500,1/14/1913,448,A
USGS,14158500,1/15/1913,428,A
USGS,14158500,1/16/1913,415,A
USGS,14158500,1/17/1913,412,A
USGS,14158500,1/18/1913,404,A
USGS,14158500,1/19/1913,395,A
USGS,14158500,1/20/1913,386,A
USGS,14158500,1/21/1913,387,A
USGS,14158500,1/22/1913,373,A
USGS,14158500,1/23/1913,363,A
USGS,14158500,1/24/1913,366,A
USGS,14158500,1/25/1913,361,A
USGS,14158500,1/26/1913,354,A
USGS,14158500,1/27/1913,347,A
USGS,14158500,1/28/1913,341,A
USGS,14158500,1/29/1913,336,A
USGS,14158500,1/30/1913,330,A
USGS,14158500,1/31/1913,328,A
USGS,14158500,2/1/1913,323,A
USGS,14158500,2/2/1913,318,A
USGS,14158500,2/3/1913,316,A
USGS,14158500,2/4/1913,314,A
USGS,14158500,2/5/1913,308,A
USGS,14158500,2/6/1913,303,A
USGS,14158500,2/7/1913,300,A
USGS,14158500,2/8/1913,298,A
USGS,14158500,2/9/1913,293,A
USGS,14158500,2/10/1913,288,A
USGS,14158500,2/11/1913,283,A
USGS,14158500,2/12/1913,279,A
USGS,14158500,2/13/1913,275,A
USGS,14158500,2/14/1913,278,A
USGS,14158500,2/15/1913,274,A
USGS,14158500,2/16/1913,272,A
USGS,14158500,2/17/1913,280,A
USGS,14158500,2/18/1913,285,A
USGS,14158500,2/19/1913,289,A
USGS,14158500,2/20/1913,296,A
USGS,14158500,2/21/1913,296,A
USGS,14158500,2/22/1913,300,A
USGS,14158500,2/23/1913,300,A
USGS,14158500,2/24/1913,303,A
USGS,14158500,2/25/1913,303,A
USGS,14158500,2/26/1913,303,A
USGS,14158500,2/27/1913,301,A
USGS,14158500,2/28/1913,298,A
USGS,14158500,3/1/1913,296,A
USGS,14158500,3/2/1913,298,A
USGS,14158500,3/3/1913,297,A
USGS,14158500,3/4/1913,292,A
USGS,14158500,3/5/1913,289,A
USGS,14158500,3/6/1913,288,A
USGS,14158500,3/7/1913,289,A
USGS,14158500,3/8/1913,292,A
USGS,14158500,3/9/1913,295,A
USGS,14158500,3/10/1913,300,A
USGS,14158500,3/11/1913,306,A
USGS,14158500,3/12/1913,316,A
USGS,14158500,3/13/1913,321,A
USGS,14158500,3/14/1913,323,A
USGS,14158500,3/15/1913,326,A
USGS,14158500,3/16/1913,333,A
USGS,14158500,3/17/1913,338,A
USGS,14158500,3/18/1913,344,A
USGS,14158500,3/19/1913,347,A
USGS,14158500,3/20/1913,342,A
USGS,14158500,3/21/1913,343,A
USGS,14158500,3/22/1913,342,A
USGS,14158500,3/23/1913,339,A
USGS,14158500,3/24/1913,339,A
USGS,14158500,3/25/1913,336,A
USGS,14158500,3/26/1913,333,A
USGS,14158500,3/27/1913,331,A
USGS,14158500,3/28/1913,336,A
USGS,14158500,3/29/1913,360,A
USGS,14158500,3/30/1913,392,A
USGS,14158500,3/31/1913,419,A
USGS,14158500,4/1/1913,445,A
USGS,14158500,4/2/1913,512,A
USGS,14158500,4/3/1913,613,A
USGS,14158500,4/4/1913,623,A
USGS,14158500,4/5/1913,659,A
USGS,14158500,4/6/1913,682,A
USGS,14158500,4/7/1913,680,A
USGS,14158500,4/8/1913,680,A
USGS,14158500,4/9/1913,667,A
USGS,14158500,4/10/1913,645,A
USGS,14158500,4/11/1913,634,A
USGS,14158500,4/12/1913,653,A
USGS,14158500,4/13/1913,676,A
USGS,14158500,4/14/1913,665,A
USGS,14158500,4/15/1913,655,A
USGS,14158500,4/16/1913,637,A
USGS,14158500,4/17/1913,625,A
USGS,14158500,4/18/1913,643,A
USGS,14158500,4/19/1913,663,A
USGS,14158500,4/20/1913,629,A
USGS,14158500,4/21/1913,641,A
USGS,14158500,4/22/1913,659,A
USGS,14158500,4/23/1913,645,A
USGS,14158500,4/24/1913,631,A
USGS,14158500,4/25/1913,638,A
USGS,14158500,4/26/1913,694,A
USGS,14158500,4/27/1913,710,A
USGS,14158500,4/28/1913,680,A
USGS,14158500,4/29/1913,661,A
USGS,14158500,4/30/1913,635,A
USGS,14158500,5/1/1913,611,A
USGS,14158500,5/2/1913,591,A
USGS,14158500,5/3/1913,573,A
USGS,14158500,5/4/1913,557,A
USGS,14158500,5/5/1913,553,A
USGS,14158500,5/6/1913,564,A
USGS,14158500,5/7/1913,615,A
USGS,14158500,5/8/1913,714,A
USGS,14158500,5/9/1913,783,A
USGS,14158500,5/10/1913,814,A
USGS,14158500,5/11/1913,876,A
USGS,14158500,5/12/1913,880,A
USGS,14158500,5/13/1913,878,A
USGS,14158500,5/14/1913,865,A
USGS,14158500,5/15/1913,880,A
USGS,14158500,5/16/1913,935,A
USGS,14158500,5/17/1913,947,A
USGS,14158500,5/18/1913,998,A
USGS,14158500,5/19/1913,982,A
USGS,14158500,5/20/1913,951,A
USGS,14158500,5/21/1913,937,A
USGS,14158500,5/22/1913,955,A
USGS,14158500,5/23/1913,1030,A
USGS,14158500,5/24/1913,1070,A
USGS,14158500,5/25/1913,1070,A
USGS,14158500,5/26/1913,1060,A
USGS,14158500,5/27/1913,1130,A
USGS,14158500,5/28/1913,1080,A
USGS,14158500,5/29/1913,1020,A
USGS,14158500,5/30/1913,1000,A
USGS,14158500,5/31/1913,1030,A
USGS,14158500,6/1/1913,1080,A
USGS,14158500,6/2/1913,1130,A
USGS,14158500,6/3/1913,1120,A
USGS,14158500,6/4/1913,1090,A
USGS,14158500,6/5/1913,1040,A
USGS,14158500,6/6/1913,1000,A
USGS,14158500,6/7/1913,1000,A
USGS,14158500,6/8/1913,1010,A
USGS,14158500,6/9/1913,980,A
USGS,14158500,6/10/1913,943,A
USGS,14158500,6/11/1913,914,A
USGS,14158500,6/12/1913,894,A
USGS,14158500,6/13/1913,894,A
USGS,14158500,6/14/1913,890,A
USGS,14158500,6/15/1913,864,A
USGS,14158500,6/16/1913,827,A
USGS,14158500,6/17/1913,800,A
USGS,14158500,6/18/1913,780,A
USGS,14158500,6/19/1913,772,A
USGS,14158500,6/20/1913,765,A
USGS,14158500,6/21/1913,745,A
USGS,14158500,6/22/1913,805,A
USGS,14158500,6/23/1913,857,A
USGS,14158500,6/24/1913,853,A
USGS,14158500,6/25/1913,820,A
USGS,14158500,6/26/1913,800,A
USGS,14158500,6/27/1913,801,A
USGS,14158500,6/28/1913,776,A
USGS,14158500,6/29/1913,756,A
USGS,14158500,6/30/1913,747,A
USGS,14158500,7/1/1913,745,A
USGS,14158500,7/2/1913,720,A
USGS,14158500,7/3/1913,708,A
USGS,14158500,7/4/1913,704,A
USGS,14158500,7/5/1913,692,A
USGS,14158500,7/6/1913,674,A
USGS,14158500,7/7/1913,652,A
USGS,14158500,7/8/1913,635,A
USGS,14158500,7/9/1913,613,A
USGS,14158500,7/10/1913,594,A
USGS,14158500,7/11/1913,576,A
USGS,14158500,7/12/1913,561,A
USGS,14158500,7/13/1913,548,A
USGS,14158500,7/14/1913,534,A
USGS,14158500,7/15/1913,522,A
USGS,14158500,7/16/1913,512,A
USGS,14158500,7/17/1913,499,A
USGS,14158500,7/18/1913,493,A
USGS,14158500,7/19/1913,484,A
USGS,14158500,7/20/1913,474,A
USGS,14158500,7/21/1913,473,A
USGS,14158500,7/22/1913,469,A
USGS,14158500,7/23/1913,466,A
USGS,14158500,7/24/1913,460,A
USGS,14158500,7/25/1913,456,A
USGS,14158500,7/26/1913,448,A
USGS,14158500,7/27/1913,442,A
USGS,14158500,7/28/1913,436,A
USGS,14158500,7/29/1913,431,A
USGS,14158500,7/30/1913,427,A
USGS,14158500,7/31/1913,424,A
USGS,14158500,8/1/1913,423,A
USGS,14158500,8/2/1913,422,A
USGS,14158500,8/3/1913,419,A
USGS,14158500,8/4/1913,418,A
USGS,14158500,8/5/1913,416,A
USGS,14158500,8/6/1913,413,A
USGS,14158500,8/7/1913,411,A
USGS,14158500,8/8/1913,409,A
USGS,14158500,8/9/1913,407,A
USGS,14158500,8/10/1913,403,A
USGS,14158500,8/11/1913,400,A
USGS,14158500,8/12/1913,398,A
USGS,14158500,8/13/1913,395,A
USGS,14158500,8/14/1913,395,A
USGS,14158500,8/15/1913,390,A
USGS,14158500,8/16/1913,385,A
USGS,14158500,8/17/1913,384,A
USGS,14158500,8/18/1913,379,A
USGS,14158500,8/19/1913,373,A
USGS,14158500,8/20/1913,373,A
USGS,14158500,8/21/1913,370,A
USGS,14158500,8/22/1913,367,A
USGS,14158500,8/23/1913,364,A
USGS,14158500,8/24/1913,360,A
USGS,14158500,8/25/1913,358,A
USGS,14158500,8/26/1913,355,A
USGS,14158500,8/27/1913,350,A
USGS,14158500,8/28/1913,347,A
USGS,14158500,8/29/1913,344,A
USGS,14158500,8/30/1913,340,A
USGS,14158500,8/31/1913,337,A
USGS,14158500,9/1/1913,333,A
USGS,14158500,9/2/1913,329,A
USGS,14158500,9/3/1913,347,A
USGS,14158500,9/4/1913,332,A
USGS,14158500,9/5/1913,330,A
USGS,14158500,9/6/1913,328,A
USGS,14158500,9/7/1913,330,A
USGS,14158500,9/8/1913,329,A
USGS,14158500,9/9/1913,327,A
USGS,14158500,9/10/1913,324,A
USGS,14158500,9/11/1913,321,A
USGS,14158500,9/12/1913,319,A
USGS,14158500,9/13/1913,317,A
USGS,14158500,9/14/1913,314,A
USGS,14158500,9/15/1913,312,A
USGS,14158500,9/16/1913,308,A
USGS,14158500,9/17/1913,305,A
USGS,14158500,9/18/1913,304,A
USGS,14158500,9/19/1913,300,A
USGS,14158500,9/20/1913,298,A
USGS,14158500,9/21/1913,298,A
USGS,14158500,9/22/1913,294,A
USGS,14158500,9/23/1913,290,A
USGS,14158500,9/24/1913,287,A
USGS,14158500,9/25/1913,286,A
USGS,14158500,9/26/1913,284,A
USGS,14158500,9/27/1913,281,A
USGS,14158500,9/28/1913,283,A
USGS,14158500,9/29/1913,280,A
USGS,14158500,9/30/1913,276,A
USGS,14158500,10/1/1913,274,A
USGS,14158500,10/2/1913,273,A
USGS,14158500,10/3/1913,270,A
USGS,14158500,10/4/1913,270,A
USGS,14158500,10/5/1913,269,A
USGS,14158500,10/6/1913,272,A
USGS,14158500,10/7/1913,310,A
USGS,14158500,10/8/1913,287,A
USGS,14158500,10/9/1913,303,A
USGS,14158500,10/10/1913,314,A
USGS,14158500,10/11/1913,298,A
USGS,14158500,10/12/1913,326,A
USGS,14158500,10/13/1913,344,A
USGS,14158500,10/14/1913,344,A
USGS,14158500,10/15/1913,349,A
USGS,14158500,10/16/1913,352,A
USGS,14158500,10/17/1913,354,A
USGS,14158500,10/18/1913,356,A
USGS,14158500,10/19/1913,360,A
USGS,14158500,10/20/1913,364,A
USGS,14158500,10/21/1913,366,A
USGS,14158500,10/22/1913,366,A
USGS,14158500,10/23/1913,366,A
USGS,14158500,10/24/1913,361,A
USGS,14158500,10/25/1913,356,A
USGS,14158500,10/26/1913,354,A
USGS,14158500,10/27/1913,352,A
USGS,14158500,10/28/1913,346,A
USGS,14158500,10/29/1913,339,A
USGS,14158500,10/30/1913,336,A
USGS,14158500,10/31/1913,330,A
USGS,14158500,11/1/1913,326,A
USGS,14158500,11/2/1913,316,A
USGS,14158500,11/3/1913,314,A
USGS,14158500,11/4/1913,307,A
USGS,14158500,11/5/1913,316,A
USGS,14158500,11/6/1913,328,A
USGS,14158500,11/7/1913,323,A
USGS,14158500,11/8/1913,316,A
USGS,14158500,11/9/1913,323,A
USGS,14158500,11/10/1913,335,A
USGS,14158500,11/11/1913,339,A
USGS,14158500,11/12/1913,349,A
USGS,14158500,11/13/1913,355,A
USGS,14158500,11/14/1913,355,A
USGS,14158500,11/15/1913,359,A
USGS,14158500,11/16/1913,364,A
USGS,14158500,11/17/1913,361,A
USGS,14158500,11/18/1913,361,A
USGS,14158500,11/19/1913,359,A
USGS,14158500,11/20/1913,359,A
USGS,14158500,11/21/1913,359,A
USGS,14158500,11/22/1913,354,A
USGS,14158500,11/23/1913,356,A
USGS,14158500,11/24/1913,347,A
USGS,14158500,11/25/1913,344,A
USGS,14158500,11/26/1913,344,A
USGS,14158500,11/27/1913,351,A
USGS,14158500,11/28/1913,351,A
USGS,14158500,11/29/1913,363,A
USGS,14158500,11/30/1913,363,A
USGS,14158500,12/1/1913,366,A
USGS,14158500,12/2/1913,366,A
USGS,14158500,12/3/1913,371,A
USGS,14158500,12/4/1913,374,A
USGS,14158500,12/5/1913,374,A
USGS,14158500,12/6/1913,374,A
USGS,14158500,12/7/1913,374,A
USGS,14158500,12/8/1913,371,A
USGS,14158500,12/9/1913,366,A
USGS,14158500,12/10/1913,361,A
USGS,14158500,12/11/1913,361,A
USGS,14158500,12/12/1913,356,A
USGS,14158500,12/13/1913,351,A
USGS,14158500,12/14/1913,347,A
USGS,14158500,12/15/1913,342,A
USGS,14158500,12/16/1913,337,A
USGS,14158500,12/17/1913,339,A
USGS,14158500,12/18/1913,332,A
USGS,14158500,12/19/1913,325,A
USGS,14158500,12/20/1913,321,A
USGS,14158500,12/21/1913,316,A
USGS,14158500,12/22/1913,314,A
USGS,14158500,12/23/1913,309,A
USGS,14158500,12/24/1913,307,A
USGS,14158500,12/25/1913,305,A
USGS,14158500,12/26/1913,298,A
USGS,14158500,12/27/1913,292,A
USGS,14158500,12/28/1913,287,A
USGS,14158500,12/29/1913,283,A
USGS,14158500,12/30/1913,283,A
USGS,14158500,12/31/1913,291,A
USGS,14158500,1/1/1914,281,A
USGS,14158500,1/2/1914,283,A
USGS,14158500,1/3/1914,285,A
USGS,14158500,1/4/1914,296,A
USGS,14158500,1/5/1914,309,A
USGS,14158500,1/6/1914,314,A
USGS,14158500,1/7/1914,347,A
USGS,14158500,1/8/1914,364,A
USGS,14158500,1/9/1914,384,A
USGS,14158500,1/10/1914,403,A
USGS,14158500,1/11/1914,417,A
USGS,14158500,1/12/1914,442,A
USGS,14158500,1/13/1914,454,A
USGS,14158500,1/14/1914,460,A
USGS,14158500,1/15/1914,457,A
USGS,14158500,1/16/1914,451,A
USGS,14158500,1/17/1914,442,A
USGS,14158500,1/18/1914,428,A
USGS,14158500,1/19/1914,414,A
USGS,14158500,1/20/1914,411,A
USGS,14158500,1/21/1914,414,A
USGS,14158500,1/22/1914,457,A
USGS,14158500,1/23/1914,454,A
USGS,14158500,1/24/1914,472,A
USGS,14158500,1/25/1914,463,A
USGS,14158500,1/26/1914,475,A
USGS,14158500,1/27/1914,475,A
USGS,14158500,1/28/1914,469,A
USGS,14158500,1/29/1914,463,A
USGS,14158500,1/30/1914,460,A
USGS,14158500,1/31/1914,454,A
USGS,14158500,2/1/1914,442,A
USGS,14158500,2/2/1914,431,A
USGS,14158500,2/3/1914,417,A
USGS,14158500,2/4/1914,412,A
USGS,14158500,2/5/1914,403,A
USGS,14158500,2/6/1914,392,A
USGS,14158500,2/7/1914,422,A
USGS,14158500,2/8/1914,419,A
USGS,14158500,2/9/1914,411,A
USGS,14158500,2/10/1914,409,A
USGS,14158500,2/11/1914,387,A
USGS,14158500,2/12/1914,371,A
USGS,14158500,2/13/1914,361,A
USGS,14158500,2/14/1914,351,A
USGS,14158500,2/15/1914,347,A
USGS,14158500,2/16/1914,342,A
USGS,14158500,2/17/1914,337,A
USGS,14158500,2/18/1914,335,A
USGS,14158500,2/19/1914,332,A
USGS,14158500,2/20/1914,323,A
USGS,14158500,2/21/1914,330,A
USGS,14158500,2/22/1914,332,A
USGS,14158500,2/23/1914,328,A
USGS,14158500,2/24/1914,344,A
USGS,14158500,2/25/1914,352,A
USGS,14158500,2/26/1914,347,A
USGS,14158500,2/27/1914,372,A
USGS,14158500,2/28/1914,384,A
USGS,14158500,3/1/1914,409,A
USGS,14158500,3/2/1914,431,A
USGS,14158500,3/3/1914,463,A
USGS,14158500,3/4/1914,503,A
USGS,14158500,3/5/1914,520,A
USGS,14158500,3/6/1914,661,A
USGS,14158500,3/7/1914,711,A
USGS,14158500,3/8/1914,719,A
USGS,14158500,3/9/1914,727,A
USGS,14158500,3/10/1914,719,A
USGS,14158500,3/11/1914,706,A
USGS,14158500,3/12/1914,690,A
USGS,14158500,3/13/1914,686,A
USGS,14158500,3/14/1914,686,A
USGS,14158500,3/15/1914,690,A
USGS,14158500,3/16/1914,694,A
USGS,14158500,3/17/1914,698,A
USGS,14158500,3/18/1914,702,A
USGS,14158500,3/19/1914,719,A
USGS,14158500,3/20/1914,714,A
USGS,14158500,3/21/1914,714,A
USGS,14158500,3/22/1914,706,A
USGS,14158500,3/23/1914,706,A
USGS,14158500,3/24/1914,694,A
USGS,14158500,3/25/1914,669,A
USGS,14158500,3/26/1914,645,A
USGS,14158500,3/27/1914,617,A
USGS,14158500,3/28/1914,591,A
USGS,14158500,3/29/1914,569,A
USGS,14158500,3/30/1914,555,A
USGS,14158500,3/31/1914,532,A
USGS,14158500,4/1/1914,509,A
USGS,14158500,4/2/1914,493,A
USGS,14158500,4/3/1914,487,A
USGS,14158500,4/4/1914,487,A
USGS,14158500,4/5/1914,487,A
USGS,14158500,4/6/1914,519,A
USGS,14158500,4/7/1914,529,A
USGS,14158500,4/8/1914,552,A
USGS,14158500,4/9/1914,580,A
USGS,14158500,4/10/1914,609,A
USGS,14158500,4/11/1914,645,A
USGS,14158500,4/12/1914,653,A
USGS,14158500,4/13/1914,698,A
USGS,14158500,4/14/1914,751,A
USGS,14158500,4/15/1914,878,A
USGS,14158500,4/16/1914,902,A
USGS,14158500,4/17/1914,849,A
USGS,14158500,4/18/1914,812,A
USGS,14158500,4/19/1914,824,A
USGS,14158500,4/20/1914,861,A
USGS,14158500,4/21/1914,833,A
USGS,14158500,4/22/1914,808,A
USGS,14158500,4/23/1914,783,A
USGS,14158500,4/24/1914,763,A
USGS,14158500,4/25/1914,739,A
USGS,14158500,4/26/1914,711,A
USGS,14158500,4/27/1914,694,A
USGS,14158500,4/28/1914,649,A
USGS,14158500,4/29/1914,621,A
USGS,14158500,4/30/1914,594,A
USGS,14158500,5/1/1914,583,A
USGS,14158500,5/2/1914,583,A
USGS,14158500,5/3/1914,594,A
USGS,14158500,5/4/1914,598,A
USGS,14158500,5/5/1914,587,A
USGS,14158500,5/6/1914,576,A
USGS,14158500,5/7/1914,574,A
USGS,14158500,5/8/1914,583,A
USGS,14158500,5/9/1914,609,A
USGS,14158500,5/10/1914,613,A
USGS,14158500,5/11/1914,602,A
USGS,14158500,5/12/1914,594,A
USGS,14158500,5/13/1914,602,A
USGS,14158500,5/14/1914,625,A
USGS,14158500,5/15/1914,649,A
USGS,14158500,5/16/1914,633,A
USGS,14158500,5/17/1914,613,A
USGS,14158500,5/18/1914,602,A
USGS,14158500,5/19/1914,587,A
USGS,14158500,5/20/1914,569,A
USGS,14158500,5/21/1914,566,A
USGS,14158500,5/22/1914,562,A
USGS,14158500,5/23/1914,569,A
USGS,14158500,5/24/1914,562,A
USGS,14158500,5/25/1914,549,A
USGS,14158500,5/26/1914,535,A
USGS,14158500,5/27/1914,535,A
USGS,14158500,5/28/1914,519,A
USGS,14158500,5/29/1914,509,A
USGS,14158500,5/30/1914,496,A
USGS,14158500,5/31/1914,491,A
USGS,14158500,6/1/1914,484,A
USGS,14158500,6/2/1914,484,A
USGS,14158500,6/3/1914,478,A
USGS,14158500,6/4/1914,469,A
USGS,14158500,6/5/1914,463,A
USGS,14158500,6/6/1914,460,A
USGS,14158500,6/7/1914,457,A
USGS,14158500,6/8/1914,454,A
USGS,14158500,6/9/1914,448,A
USGS,14158500,6/10/1914,448,A
USGS,14158500,6/11/1914,448,A
USGS,14158500,6/12/1914,448,A
USGS,14158500,6/13/1914,448,A
USGS,14158500,6/14/1914,442,A
USGS,14158500,6/15/1914,442,A
USGS,14158500,6/16/1914,439,A
USGS,14158500,6/17/1914,436,A
USGS,14158500,6/18/1914,428,A
USGS,14158500,6/19/1914,420,A
USGS,14158500,6/20/1914,414,A
USGS,14158500,6/21/1914,409,A
USGS,14158500,6/22/1914,403,A
USGS,14158500,6/23/1914,400,A
USGS,14158500,6/24/1914,403,A
USGS,14158500,6/25/1914,398,A
USGS,14158500,6/26/1914,392,A
USGS,14158500,6/27/1914,387,A
USGS,14158500,6/28/1914,384,A
USGS,14158500,6/29/1914,382,A
USGS,14158500,6/30/1914,382,A
USGS,14158500,7/1/1914,377,A
USGS,14158500,7/2/1914,377,A
USGS,14158500,7/3/1914,374,A
USGS,14158500,7/4/1914,370,A
USGS,14158500,7/5/1914,366,A
USGS,14158500,7/6/1914,361,A
USGS,14158500,7/7/1914,356,A
USGS,14158500,7/8/1914,356,A
USGS,14158500,7/9/1914,351,A
USGS,14158500,7/10/1914,347,A
USGS,14158500,7/11/1914,342,A
USGS,14158500,7/12/1914,337,A
USGS,14158500,7/13/1914,335,A
USGS,14158500,7/14/1914,330,A
USGS,14158500,7/15/1914,325,A
USGS,14158500,7/16/1914,319,A
USGS,14158500,7/17/1914,319,A
USGS,14158500,7/18/1914,314,A
USGS,14158500,7/19/1914,311,A
USGS,14158500,7/20/1914,305,A
USGS,14158500,7/21/1914,300,A
USGS,14158500,7/22/1914,296,A
USGS,14158500,7/23/1914,294,A
USGS,14158500,7/24/1914,290,A
USGS,14158500,7/25/1914,287,A
USGS,14158500,7/26/1914,283,A
USGS,14158500,7/27/1914,281,A
USGS,14158500,7/28/1914,277,A
USGS,14158500,7/29/1914,274,A
USGS,14158500,7/30/1914,272,A
USGS,14158500,7/31/1914,270,A
USGS,14158500,8/1/1914,268,A
